PiSnoop 9.8.2.0 logfile created 14:01:38 09/11/2023 (dd/mm/yyyy)
Tip: in Excel select whole heading row (row 4) and do Data... Filter to view only desired messages. 64 bytes shown if any monitored channel in CAN-FD mode. #channel_types=CAN1:CAN#

Time (abs),Time (rel),Channel,Dir,ID,Name,Len,B0,B1,B2,B3,B4,B5,B6,B7,DBC signal name/value pairs...
14:07:29,350.7927,CAN1,Tx,0x7E0,,8,10,0b,34,00,44,80,12,80,
14:07:29,350.7937,CAN1,Rx,0x7E8,,8,30,00,00,00,00,00,00,00,
14:07:29,350.7947,CAN1,Tx,0x7E0,,8,21,00,00,00,00,40,00,00,
14:07:29,350.7957,CAN1,Rx,0x7E8,,8,04,74,20,0f,ff,00,00,00,
14:07:29,350.8027,CAN1,Tx,0x7E0,,8,10,42,36,01,01,02,03,04,
14:07:29,350.8037,CAN1,Rx,0x7E8,,8,30,00,00,00,00,00,00,00,
14:07:29,350.8047,CAN1,Tx,0x7E0,,8,21,05,06,07,08,01,01,01,
14:07:29,350.8057,CAN1,Tx,0x7E0,,8,22,01,01,02,03,04,05,06,
14:07:29,350.8077,CAN1,Tx,0x7E0,,8,23,07,08,09,00,17,09,14,
14:07:29,350.8087,CAN1,Tx,0x7E0,,8,24,09,2d,01,02,03,04,05,
14:07:29,350.8097,CAN1,Tx,0x7E0,,8,25,06,07,08,09,00,0a,0b,
14:07:29,350.8107,CAN1,Tx,0x7E0,,8,26,0c,0d,0e,0f,00,00,00,
14:07:29,350.8117,CAN1,Tx,0x7E0,,8,27,00,00,00,00,00,00,00,
14:07:29,350.8127,CAN1,Tx,0x7E0,,8,28,00,00,00,00,00,00,00,
14:07:29,350.8137,CAN1,Tx,0x7E0,,8,29,00,00,00,00,00,00,00,
14:07:29,350.8137,CAN1,Rx,0x7E8,,8,02,76,01,00,00,00,00,00,
14:07:29,350.8678,CAN1,Tx,0x7E0,,8,01,37,00,00,00,00,00,00,
14:07:29,350.8688,CAN1,Rx,0x7E8,,8,01,77,00,00,00,00,00,00,
14:07:29,351.1322,CAN1,Tx,0x7E0,,8,10,0b,34,00,44,80,12,88,
14:07:29,351.1322,CAN1,Rx,0x7E8,,8,30,00,00,00,00,00,00,00,
14:07:29,351.1342,CAN1,Tx,0x7E0,,8,21,00,00,05,36,18,00,00,
14:07:29,351.1342,CAN1,Rx,0x7E8,,8,04,74,20,0f,ff,00,00,00,
14:07:29,351.1422,CAN1,Tx,0x7E0,,8,18,00,36,01,31,3f,08,00,
14:07:29,351.1422,CAN1,Rx,0x7E8,,8,30,00,00,00,00,00,00,00,
